"data";"valor"
"01/08/2019";"112582,53"
"01/09/2019";"113514,53"
"01/10/2019";"116322,43"
"01/11/2019";"114693,25"
"01/12/2019";"114084,07"
"01/01/2020";"113650,39"
"01/02/2020";"112530,98"
"01/03/2020";"112839,93"
"01/04/2020";"110904,70"
"01/05/2020";"110220,82"
"01/06/2020";"108415,14"
"01/07/2020";"108346,28"
"01/08/2020";"107690,64"
"01/09/2020";"108477,64"
"01/10/2020";"109682,79"
"01/11/2020";"110321,28"
"01/12/2020";"108749,36"
"01/01/2021";"109160,18"
"01/02/2021";"110058,16"
"01/03/2021";"111004,73"
"01/04/2021";"103499,09"
"01/05/2021";"103429,84"
"01/06/2021";"102528,22"
"01/07/2021";"100187,00"
"01/08/2021";"101244,54"
"01/09/2021";"100982,39"
"01/10/2021";"100244,08"
"01/11/2021";"105189,49"
"01/12/2021";"103124,15"
"01/01/2022";"104581,52"
"01/02/2022";"103209,22"
"01/03/2022";"103042,07"
"01/04/2022";"103142,61"
"01/05/2022";"103490,65"
"01/06/2022";"103247,39"
"01/07/2022";"103497,53"
"01/08/2022";"104975,14"
